City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
385,colby,39.3958,-101.0524,291.38,40,0,7.2,US,1697936925
386,kencong,-8.2833,113.3667,301.54,66,33,0.99,ID,1697936926
387,dera ghazi khan,30.0561,70.6348,294.72,63,2,1.94,PK,1697936926
388,acarau,-2.8856,-40.12,299.18,85,76,6.96,BR,1697936666
389,linhares,-19.3911,-40.0722,295.01,84,100,1.56,BR,1697936720
390,fort st. john,56.2499,-120.8529,274.52,68,100,1.51,CA,1697936812
391,daru,-9.0763,143.2092,300.22,63,22,4.05,PG,1697936927
392,quiberon,47.4841,-3.1196,288.19,77,0,2.68,FR,1697936927
393,taulaga,-11.0553,-171.0883,301.34,74,100,1.75,AS,1697936928
394,colonia,50.9333,6.95,287.57,70,75,6.17,DE,1697936928
395,vorkuta,67.5,64.0,269.11,72,23,11.2,RU,1697936928
